Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Categories,Tags,Images
simple,FLYSOX-AVO,FlySox – Avo Toast,1,1,visible,"Funky avocado-print socks with a comfort-fit design. Bold enough for the office, easy enough for weekends.","Meet the Avo Toast — one of FlySox SA's signature funky designs. Made from a breathable cotton-blend with reinforced heel and toe, these socks are built to handle SA summers and winters alike. Elastic arch support keeps them in place all day, whether you're at your desk, on the golf course, or braaiing with the boys.

🧵 Cotton-blend, breathable fabric
👟 Reinforced heel & toe for durability
📏 One size fits most (UK 6–11)
🇿🇦 Proudly packed in South Africa",149.00,"Socks, Food Socks","Funky Socks, Mens Socks, South Africa",
simple,FLYSOX-PIZ,FlySox – Pizza Party,1,1,visible,"Funky pizza-slice print socks with a comfort-fit design. Bold enough for the office, easy enough for weekends.","Meet the Pizza Party — one of FlySox SA's signature funky designs. Made from a breathable cotton-blend with reinforced heel and toe, these socks are built to handle SA summers and winters alike. Elastic arch support keeps them in place all day, whether you're at your desk, on the golf course, or braaiing with the boys.

🧵 Cotton-blend, breathable fabric
👟 Reinforced heel & toe for durability
📏 One size fits most (UK 6–11)
🇿🇦 Proudly packed in South Africa",149.00,"Socks, Food Socks","Funky Socks, Mens Socks, South Africa",
simple,FLYSOX-BRB,FlySox – Braai Breakfast,1,1,visible,"Funky bacon-and-eggs print socks with a comfort-fit design. Bold enough for the office, easy enough for weekends.","Meet the Braai Breakfast — one of FlySox SA's signature funky designs. Made from a breathable cotton-blend with reinforced heel and toe, these socks are built to handle SA summers and winters alike. Elastic arch support keeps them in place all day, whether you're at your desk, on the golf course, or braaiing with the boys.

🧵 Cotton-blend, breathable fabric
👟 Reinforced heel & toe for durability
📏 One size fits most (UK 6–11)
🇿🇦 Proudly packed in South Africa",149.00,"Socks, Food Socks","Funky Socks, Mens Socks, South Africa",
simple,FLYSOX-SHI,FlySox – Shisanyama Stack,1,1,visible,"Funky burger-stack print socks with a comfort-fit design. Bold enough for the office, easy enough for weekends.","Meet the Shisanyama Stack — one of FlySox SA's signature funky designs. Made from a breathable cotton-blend with reinforced heel and toe, these socks are built to handle SA summers and winters alike. Elastic arch support keeps them in place all day, whether you're at your desk, on the golf course, or braaiing with the boys.

🧵 Cotton-blend, breathable fabric
👟 Reinforced heel & toe for durability
📏 One size fits most (UK 6–11)
🇿🇦 Proudly packed in South Africa",149.00,"Socks, Food Socks","Funky Socks, Mens Socks, South Africa",
simple,FLYSOX-ARG,FlySox – Argyle Attack,1,1,visible,"Funky bold diamond-argyle print socks with a comfort-fit design. Bold enough for the office, easy enough for weekends.","Meet the Argyle Attack — one of FlySox SA's signature funky designs. Made from a breathable cotton-blend with reinforced heel and toe, these socks are built to handle SA summers and winters alike. Elastic arch support keeps them in place all day, whether you're at your desk, on the golf course, or braaiing with the boys.

🧵 Cotton-blend, breathable fabric
👟 Reinforced heel & toe for durability
📏 One size fits most (UK 6–11)
🇿🇦 Proudly packed in South Africa",149.00,"Socks, Geometric Socks","Funky Socks, Mens Socks, South Africa",
simple,FLYSOX-BRD,FlySox – Boardroom Bold,1,1,visible,"Funky pink-and-black argyle print socks with a comfort-fit design. Bold enough for the office, easy enough for weekends.","Meet the Boardroom Bold — one of FlySox SA's signature funky designs. Made from a breathable cotton-blend with reinforced heel and toe, these socks are built to handle SA summers and winters alike. Elastic arch support keeps them in place all day, whether you're at your desk, on the golf course, or braaiing with the boys.

🧵 Cotton-blend, breathable fabric
👟 Reinforced heel & toe for durability
📏 One size fits most (UK 6–11)
🇿🇦 Proudly packed in South Africa",149.00,"Socks, Geometric Socks","Funky Socks, Mens Socks, South Africa",
simple,FLYSOX-SPC,FlySox – Space Cadet,1,1,visible,"Funky astronaut-print socks with a comfort-fit design. Bold enough for the office, easy enough for weekends.","Meet the Space Cadet — one of FlySox SA's signature funky designs. Made from a breathable cotton-blend with reinforced heel and toe, these socks are built to handle SA summers and winters alike. Elastic arch support keeps them in place all day, whether you're at your desk, on the golf course, or braaiing with the boys.

🧵 Cotton-blend, breathable fabric
👟 Reinforced heel & toe for durability
📏 One size fits most (UK 6–11)
🇿🇦 Proudly packed in South Africa",149.00,"Socks, Space Socks","Funky Socks, Mens Socks, South Africa",
simple,FLYSOX-RKT,FlySox – Rocket Fuel,1,1,visible,"Funky rocket-and-planet print socks with a comfort-fit design. Bold enough for the office, easy enough for weekends.","Meet the Rocket Fuel — one of FlySox SA's signature funky designs. Made from a breathable cotton-blend with reinforced heel and toe, these socks are built to handle SA summers and winters alike. Elastic arch support keeps them in place all day, whether you're at your desk, on the golf course, or braaiing with the boys.

🧵 Cotton-blend, breathable fabric
👟 Reinforced heel & toe for durability
📏 One size fits most (UK 6–11)
🇿🇦 Proudly packed in South Africa",149.00,"Socks, Space Socks","Funky Socks, Mens Socks, South Africa",
simple,FLYSOX-SHK,FlySox – Shark Bait,1,1,visible,"Funky great white shark print socks with a comfort-fit design. Bold enough for the office, easy enough for weekends.","Meet the Shark Bait — one of FlySox SA's signature funky designs. Made from a breathable cotton-blend with reinforced heel and toe, these socks are built to handle SA summers and winters alike. Elastic arch support keeps them in place all day, whether you're at your desk, on the golf course, or braaiing with the boys.

🧵 Cotton-blend, breathable fabric
👟 Reinforced heel & toe for durability
📏 One size fits most (UK 6–11)
🇿🇦 Proudly packed in South Africa",149.00,"Socks, Ocean Socks","Funky Socks, Mens Socks, South Africa",
simple,FLYSOX-TTL,FlySox – Turtle Power,1,1,visible,"Funky sea-turtle print socks with a comfort-fit design. Bold enough for the office, easy enough for weekends.","Meet the Turtle Power — one of FlySox SA's signature funky designs. Made from a breathable cotton-blend with reinforced heel and toe, these socks are built to handle SA summers and winters alike. Elastic arch support keeps them in place all day, whether you're at your desk, on the golf course, or braaiing with the boys.

🧵 Cotton-blend, breathable fabric
👟 Reinforced heel & toe for durability
📏 One size fits most (UK 6–11)
🇿🇦 Proudly packed in South Africa",149.00,"Socks, Ocean Socks","Funky Socks, Mens Socks, South Africa",
